,Season,Name,GP,G,A,P,+/-,PIM,PPG,PPP,SHG,SHP,TOI/G,GWG,OTG,S,S%,FO%
0,2016-17,Guentzel,40,16,17,33,+7,10,1,3,0,0,15:53,0,0,81,19.8,47.1
1,2017-18,Guentzel,82,22,26,48,-9,42,7,12,0,0,16:29,1,0,171,12.9,50.0
2,2018-19,Guentzel,82,40,36,76,+13,26,6,11,1,1,19:21,4,1,227,17.6,33.3
3,2019-20,Guentzel,39,20,23,43,+11,14,6,10,0,0,20:37,4,1,127,15.7,47.8
4,2020-21,Guentzel,56,23,34,57,+7,28,6,18,0,1,20:16,7,1,141,16.3,25.0
5,2021-22,Guentzel,76,40,44,84,+13,44,7,22,0,0,20:05,7,1,264,15.2,52.0
6,2022-23,Guentzel,78,36,37,73,+2,46,11,23,0,0,20:06,6,1,244,14.8,50.0
7,2023-24,Guentzel,39,18,26,44,+9,12,3,10,0,0,20:47,2,0,140,12.9,20.0
